Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),ZONE ONE PEOPLE:People Total Heating Rate [W](Hourly),SPACE1-1 LIGHTS 1:Lights Total Heating Rate [W](Hourly),ZONE ONE:Zone Mean Air Temperature [C](Hourly),ZONE ONE:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](Hourly),ZONE ONE:Zone Air Relative Humidity [%](Hourly),ZONE ONE PEOPLE:Zone Thermal Comfort Fanger Model PMV [](Hourly),ZONE ONE PEOPLE:Zone Thermal Comfort Fanger Model PPD [%](Hourly),ZONE ONE PEOPLE:Zone Thermal Comfort Pierce Model Standard Effective Temperature [C](Hourly),ZONE ONE PEOPLE:Zone Thermal Comfort ASHRAE 55 Elevated Air Speed Cooling Effect [C](Hourly),ZONE ONE PEOPLE:Zone Thermal Comfort ASHRAE 55 Elevated Air Speed Cooling Effect Adjusted PMV [](Hourly),ZONE ONE PEOPLE:Zone Thermal Comfort ASHRAE 55 Elevated Air Speed Cooling Effect Adjusted PPD [](Hourly),ZONE ONE PEOPLE:Zone Thermal Comfort ASHRAE 55 Ankle Draft PPD [](Hourly),ZONE ONE:Zone Heat Index [C](Hourly),ZONE ONE:Zone Humidity Index [](Hourly) 
 12/21  01:00:00,-15.5,0.0010671752733742057,99.99997220540318,92147.52014441554,0.0,79.2,-17.82237695351579,0.0008586355074279744,100.0,-8.881695564549794,100.0,-8.20107492298854,1.8890380859375,-9.481301798870515,100.0,-1.0,-20.937947982200704,-22.528395047993058 
 12/21  02:00:00,-15.5,0.0010671752733742057,99.99997220540318,92147.52014441554,0.0,79.2,-17.822443765909505,0.000858630092848504,100.0,-8.881710148137744,100.0,-8.201129868503955,1.8890380859375,-9.481316581472871,100.0,-1.0,-20.938021475833793,-22.52846657415516 
 12/21  03:00:00,-15.5,0.0010671752733742057,99.99997220540318,92147.52014441554,0.0,79.2,-17.822509436818095,0.0008586247363132455,100.0,-8.88172448376675,100.0,-8.201183875407608,1.8890380859375,-9.48133111254983,100.0,-1.0,-20.93809371383324,-22.52853690616039 
 12/21  04:00:00,-15.5,0.0010671752733742057,99.99997220540318,92147.52014441554,0.0,79.2,-17.822573985753007,0.0008586195345087311,100.0,-8.881738572324663,100.0,-8.20123695973897,1.8890380859375,-9.481345393521117,100.0,-1.0,-20.938164717661643,-22.528605987751114 
 12/21  05:00:00,-15.5,0.0010671752733742057,99.99997220540318,92147.52014441554,0.0,79.2,-17.822637431891938,0.0008586143714079563,100.0,-8.881752421922478,100.0,-8.201289137263185,1.8890380859375,-9.481359432002964,100.0,-1.0,-20.93823450841446,-22.52867391296907 
 12/21  06:00:00,-15.5,0.0010671752733742057,99.99997220540318,92147.52014441554,0.0,79.2,-17.8226997940844,0.0008586093243594911,100.0,-8.881766033968638,100.0,-8.201340423475777,1.8890380859375,-9.481373229840337,100.0,-1.0,-20.938303106826176,-22.528740676395905 
 12/21  07:00:00,-15.5,0.0010671752733742057,99.99997220540318,92147.52014441554,0.0,79.2,-17.822761090857444,0.0008586043546870191,100.0,-8.881779413781247,100.0,-8.201390833607432,1.8890380859375,-9.481386792227232,100.0,-1.0,-20.938370533276526,-22.528806300040845 
 12/21  08:00:00,-15.5,0.0010671752733742057,99.99997220540318,92147.52014441554,0.0,79.2,-17.8228213404212,0.00085859946238933,100.0,-8.881792565283774,100.0,-8.201440382628197,1.8890380859375,-9.481400123148468,100.0,-1.0,-20.938436807796656,-22.528870811973327 
 12/21  09:00:00,-15.5,0.0010671752733742057,99.99997220540318,92147.52014441554,0.0,79.2,-17.822880560674264,0.0008585946668021947,100.0,-8.88180549166946,100.0,-8.201489085252394,1.8890380859375,-9.481413225950794,100.0,-1.0,-20.938501950075022,-22.528934206878475 
 12/21  10:00:00,-15.5,0.0010671752733742057,99.99997220540318,92147.52014441554,0.0,79.2,-17.82293876920904,0.000858589929250352,100.0,-8.881818198054985,100.0,-8.20153695594258,1.8890380859375,-9.481426105623774,100.0,-1.0,-20.938565979463277,-22.528996529708465 
